accD	atpA	atpB	atpE	atpF	atpH	atpI	ccsA	cemA	chlI	clpP	infA	petA	petB	petD	petG	petL	psaA	psaB	psaC	psaI	psaJ	psaM	psbA	psbB	psbC	psbD	psbE	psbF	psbH	psbI	psbJ	psbK	psbL	psbM	psbN	psbT	psbZ	rbcL	rpl12	rpl14	rpl16	rpl19	rpl2	rpl20	rpl23	rpl32	rpl36	rpl5	rpoA	rpoB	rpoC1	rpoC2	rps11	rps12	rps14	rps18	rps19	rps2	rps3	rps4	rps7	rps8	rps9	tufA	ycf1	ycf12	ycf20	ycf3	ycf4	cp_mt_ML	atp1	atp4	atp6	atp8	atp9	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6	nad7	rpl14 	rpl16 	rpl5 	rps10	rps11 	rps12 	rps13	rps14 	rps19 	rps2 	rps3 	rps4 
infA	38	36	40	36	36	44	36	36	34	34	36	0	30	36	36	48	34	34	34	42	50	42	42	44	32	32	34	44	44	42	46	54	52	54	50	50	46	52	32	34	40	38	34	36	40	34	30	40	32	34	30	32	26	34	28	38	40	34	28	42	36	36	32	38	36	34	58	34	34	40	34	22	22	28	24	28	22	22	26	30	24	28	30	26	30	28	26	28	28	28	26	20	30	24	26	22	28	24	16	26
petA	26	20	26	22	22	36	22	18	24	16	22	30	0	22	18	38	20	16	24	28	42	36	32	28	20	28	22	34	40	28	32	42	40	44	44	40	38	38	22	16	18	28	24	26	32	24	26	28	24	18	18	18	16	20	22	24	30	34	22	28	28	22	20	30	24	18	46	18	18	14	16	6	12	16	14	18	14	14	10	12	12	16	10	12	22	14	18	16	22	14	14	6	14	10	14	10	16	12	12	10
petB	28	32	32	36	30	46	24	26	20	18	30	36	22	0	30	50	30	20	24	36	54	46	42	42	22	22	28	34	50	34	44	54	58	54	48	46	48	50	28	24	36	32	28	32	40	22	38	42	28	26	24	26	20	32	16	34	40	38	30	30	32	34	34	34	26	20	54	28	30	20	22	10	14	22	16	24	18	14	16	18	16	22	14	18	28	20	18	22	26	20	18	8	22	14	18	12	18	14	10	14
petD	28	32	30	32	24	44	36	28	26	22	28	36	18	30	0	44	22	24	28	36	50	42	40	36	30	26	34	46	50	40	38	50	58	54	52	46	48	42	24	28	28	34	32	36	34	26	36	36	28	30	28	30	20	32	22	32	30	36	28	38	34	32	32	30	28	28	56	26	32	28	28	18	20	26	22	24	24	20	22	18	24	26	18	18	34	22	22	26	32	24	24	10	20	14	18	16	20	18	12	16
petG	50	48	50	54	42	50	44	48	44	46	48	48	38	50	44	0	36	48	48	50	52	50	44	44	50	46	50	52	54	52	48	58	60	58	50	56	46	56	52	50	44	52	48	48	50	44	42	48	38	44	42	44	36	46	42	48	48	50	50	50	48	48	50	52	50	46	56	40	46	44	48	30	28	34	30	32	34	28	34	34	30	32	32	32	36	32	30	32	34	34	30	24	28	30	30	26	28	30	20	24
petL	26	30	28	32	28	34	26	22	24	24	26	34	20	30	22	36	0	26	28	30	42	36	32	30	30	28	30	40	42	28	40	44	44	46	44	38	48	40	30	22	22	28	26	26	34	22	34	26	18	26	28	24	26	26	26	30	34	28	28	28	28	26	26	30	28	28	44	28	24	24	26	14	16	16	14	20	18	20	14	14	18	16	20	18	26	14	14	16	22	14	16	6	16	14	10	12	16	12	6	10
psaA	14	16	18	20	20	38	20	22	18	10	22	34	16	20	24	48	26	0	8	28	50	38	36	36	10	18	16	36	48	32	40	50	48	54	50	46	46	40	16	24	26	24	18	22	30	26	34	32	28	12	14	10	4	20	14	22	32	32	18	18	22	26	26	24	14	6	54	20	18	18	8	6	10	14	12	22	12	12	14	18	14	16	16	10	24	16	16	16	22	14	14	6	20	12	16	8	14	12	10	14
psaB	14	20	22	24	20	36	24	28	22	18	26	34	24	24	28	48	28	8	0	28	52	40	34	38	16	22	20	40	46	32	44	52	48	54	50	46	46	38	18	28	28	18	14	16	26	30	32	32	30	14	16	8	2	24	12	26	32	30	16	16	24	28	30	22	14	12	54	24	18	24	12	8	10	10	8	24	10	14	14	18	14	14	20	10	22	16	16	14	20	14	12	4	20	14	16	8	12	10	8	14
psaC	34	32	36	36	32	42	38	34	26	30	28	42	28	36	36	50	30	28	28	0	52	42	38	42	34	32	38	42	48	34	48	54	54	54	50	44	46	46	34	38	30	36	34	34	42	38	38	32	32	26	30	28	20	38	24	34	44	44	34	34	38	28	32	36	34	28	54	28	30	28	28	18	14	22	20	26	22	22	24	20	22	22	24	22	30	22	22	22	28	22	18	12	24	18	20	16	20	20	14	18
psaI	54	52	56	48	54	56	52	52	48	46	48	50	42	54	50	52	42	50	52	52	0	52	46	54	52	48	56	56	58	58	52	58	58	60	58	56	48	58	50	56	50	56	56	48	54	52	44	56	44	52	50	50	40	52	42	52	56	54	52	56	52	54	50	54	56	52	60	44	52	48	50	34	32	40	36	38	36	30	38	36	36	40	36	38	40	38	34	40	40	38	38	26	36	32	30	30	34	34	22	28
